tag,release_datetime
v1.0.415,2024-09-06T09:43:19
v1.0.416,2024-09-09T11:08:54
v1.0.417,2024-09-12T09:49:56
v1.0.418,2024-09-19T09:00:22
v1.0.419,2024-09-26T09:21:25
aa1bd72,2024-09-30T12:04:11
v1.0.421,2024-10-03T09:00:22
v1.0.422,2024-10-10T09:37:54
v1.0.423,2024-10-11T10:49:55
v1.0.424,2024-10-17T08:24:09
f29cb50,2024-10-23T09:08:20
v1.0.425,2024-10-24T09:01:09
v1.0.426,2024-10-31T10:20:41
0e98cf9,2024-11-05T14:02:55
v1.0.427,2024-11-07T13:56:27
v1.0.428,2024-11-19T10:26:33
v1.0.429,2024-11-21T14:05:44
d4c45da,2024-11-22T11:35:31
30bb085,2024-11-25T11:10:40
v1.0.430,2024-11-28T10:15:24
v1.0.431,2024-12-05T10:08:41
v1.0.432,2025-01-08T15:02:44
v1.0.433,2025-01-16T09:16:11
v1.0.434,2025-01-23T11:02:14
v1.0.435,2025-02-04T13:21:52
v1.0.436,2025-02-07T10:05:07
v1.0.437,2025-02-13T09:41:36
b401dd66,2025-02-26T08:13:01
v1.1.0,2025-02-26T10:19:32
v1.1.1,2025-03-06T08:47:30
v1.1.2,2025-03-13T09:06:35
f7d8bbdb,2025-03-18T14:22:32
v1.1.3,2025-03-20T09:32:51
v1.1.4,2025-03-27T11:26:31
a5a9eb01,2025-04-02T08:32:14
v1.1.5,2025-04-03T09:43:35
v1.1.6,2025-04-11T07:29:16
9abeda75,2025-04-16T12:28:37
v1.1.7,2025-04-24T10:01:59
d3e663f1,2025-04-28T14:04:03
bdab252a,2025-05-02T08:45:56
v1.1.8,2025-05-08T09:24:59
v1.1.9,2025-05-15T15:09:36
v1.2.0,2025-05-29T09:23:04
2554ba78,2025-06-04T17:25:50
v1.2.1,2025-06-09T11:15:01
v1.2.3,2025-06-13T09:08:30
v1.3.0,2025-06-20T15:06:30
dbec68fd,2025-07-01T10:38:51
v1.3.1,2025-07-07T12:47:41
v1.3.2,2025-07-14T08:08:11
v1.3.3,2025-07-17T08:34:40
v1.3.4,2025-07-23T14:31:16
v1.3.5,2025-07-24T09:35:03
v1.3.6,2025-07-31T10:03:02
4599c8a3,2025-08-01T11:32:05
9184d873,2025-08-04T11:58:52
v1.3.7,2025-08-08T10:39:46
v1.3.8,2025-08-13T22:43:28
v1.3.9,2025-08-27T10:59:26
5eb5aacb,2025-09-01T11:20:12
v1.3.10,2025-09-01T14:30:30
v1.3.11,2025-09-03T12:03:19
v1.4.1,2025-09-11T11:16:19
v1.4.2,2025-09-17T10:21:35
f8303f18,2025-10-01T10:02:05
a2160ea8,2025-10-01T10:50:37
v1.4.3,2025-10-01T11:50:18
v1.4.4,2025-10-01T13:32:35
10a68996,2025-10-05T08:24:26
f3db1937,2025-10-06T16:34:11
v1.4.5,2025-10-08T11:51:27
v1.4.6,2025-10-16T13:24:31
v1.4.7,2025-10-23T10:01:32
v1.4.8,2025-10-29T13:46:01
v1.4.9,2025-10-29T14:11:35
v1.4.10,2025-11-05T12:23:18
128b406,2025-11-07T11:39:30
v1.4.13,2025-11-13T09:50:31
v1.4.15,2025-11-20T11:28:28
9c268d3,2025-11-24T15:20:58
v1.4.16,2025-11-26T15:47:30
51369b2,2025-11-27T13:15:26
v1.4.17,2025-12-03T12:15:55
v1.4.18,2025-12-10T11:44:06
v1.5.0,2025-12-16T10:47:31
v1.6.0,2026-01-07T15:21:30
v1.6.1,2026-01-14T14:40:16
v1.6.2,2026-01-21T10:11:48
v1.6.3,2026-01-23T09:20:01
v1.6.4,2026-01-28T16:20:31
v1.6.5,2026-01-29T10:30:56
v1.7.0,2026-02-04T15:09:45
v1.7.2,2026-02-11T12:24:45
v1.8.0,2026-02-19T07:20:33
